Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
33115566,Arrival,Ted Chiang,"Chiang, Ted",,"=""1509835903""","=""9781509835904""",5,4.26,Picador,Paperback,340,2016,2002,,2018/06/23,,,read,,,,1,,,0,,,,,
486658,Chaos,James Gleick,"Gleick, James",,"=""0749386061""","=""9780749386061""",5,3.99,Vintage,Paperback,342,1997,1987,,2018/06/23,,,read,,,,1,,,0,,,,,
35444148,The Handmaid's Tale,Margaret Atwood,"Atwood, Margaret",,"=""1784708232""","=""9781784708238""",5,4.10,Vintage,Hardcover,336,2017,1985,,2018/06/23,,,read,,,,1,,,0,,,,,
30216074,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""0670087149""","=""9780670087143""",5,4.37,Allen Lane / Penguin Books,Hardcover,592,2016,2016,,2018/06/23,,,read,,,,1,,,0,,,,,
11955654,Embassytown,China Miéville,"Miéville, China",,"=""033053307X""","=""9780330533072""",5,3.87,Pan Books,Paperback,405,2012,2011,,2018/06/23,,,read,,,,1,,,0,,,,,
9711050,"Iron Council (New Crobuzon, #3)",China Miéville,"Miéville, China",,"=""0330534203""","=""9780330534208""",5,3.70,Pan Publishing,Paperback,614,2011,2004,,2018/06/23,,,read,,,,1,,,0,,,,,
32794590,The Rise and Fall of D.O.D.O.,Neal Stephenson,"Stephenson, Neal",Nicole Galland,"=""0008132569""","=""9780008132569""",5,3.87,The Borough Press,Hardcover,753,2017,2017,,2018/06/23,,,read,,,,2,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",5,4.20,Grand Central Publishing,Hardcover,304,2016,2016,2018/07/22,2018/07/11,,,read,,,,1,,,0,,,,,
17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,"Yousafzai, Malala",Christina Lamb,"=""0316322407""","=""9780316322409""",5,4.11,"Little, Brown and Company",Hardcover,327,2013,2012,2018/07/22,2018/06/28,,,read,,,,1,,,0,,,,,
27539,On Intelligence,Jeff Hawkins,"Hawkins, Jeff",Sandra Blakeslee,"=""0805078533""","=""9780805078534""",4,4.12,St. Martin's Griffin,Paperback,261,2005,2004,,2018/06/23,,,read,,,,1,,,0,,,,,
